ID,entityname,SchoolAddress,Coords,Lat,Long
222,Catholic Charities of Archdioces,"""2121 N Keeler Ave, Chicago IL, 60639""","""41.91952149999999,-87.7309143""",41.91952149999999,-87.7309143
229,Greater Chicago Food Depository,"""1240 S Pulaski, Chicago IL, 60623""","""41.8652136,-87.7254663""",41.8652136,-87.7254663
230,Greater Chicago Food Depository,"""10420 S Halsted, Chicago IL, 60628""","""41.7044396,-87.64324799999997""",41.7044396,-87.64324799999997
231,Greater Chicago Food Depository,"""2020 S Blue Island Ave, Chicago IL, 60608""","""41.854586,-87.66429500000004""",41.854586,-87.66429500000004
232,Greater Chicago Food Depository,"""6200 W Bloomingdale Ave, Chicago IL, 60639""","""41.9133813,-87.78027480000003""",41.9133813,-87.78027480000003
233,Greater Chicago Food Depository,"""5437 W Division St, Chicago IL, 60651""","""41.902013,-87.76243310000001""",41.902013,-87.76243310000001
234,Greater Chicago Food Depository,"""4438 W Wrightwood Ave, Chicago IL, 60639""","""41.928971,-87.73810630000003""",41.928971,-87.73810630000003
235,Greater Chicago Food Depository,"""3501 N Kilbourn Ave, Chicago IL, 60641""","""41.9446117,-87.73945809999998""",41.9446117,-87.73945809999998
236,Greater Chicago Food Depository,"""2732 N Avers Ave, Chicago IL, 60647""","""41.9315116,-87.7237361""",41.9315116,-87.7237361
237,Greater Chicago Food Depository,"""3147 W Douglas Blvd, Chicago IL, 60623""","""41.8622899,-87.70494869999999""",41.8622899,-87.70494869999999
116,Chicago Youth Centers,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
239,Greater Chicago Food Depository,"""218 S Wabash Ave Ste 600, Chicago IL, 60604""","""41.87889680000001,-87.62639039999999""",41.87889680000001,-87.62639039999999
240,Greater Chicago Food Depository,"""2424 W Touhy Ave, Chicago IL, 60645""","""42.0126471,-87.69152880000001""",42.0126471,-87.69152880000001
241,Greater Chicago Food Depository,"""3039 E 91st St, Chicago IL, 60617""","""41.7297841,-87.5491606""",41.7297841,-87.5491606
242,Greater Chicago Food Depository,"""2700 S Western Ave, Chicago IL, 60608""","""41.8439281,-87.686306""",41.8439281,-87.686306
243,Greater Chicago Food Depository,"""500 S Central Ave, Chicago IL, 60644""","""41.8737893,-87.76496129999998""",41.8737893,-87.76496129999998
244,Greater Chicago Food Depository,"""3947 S Michigan Ave, Chicago IL, 60653""","""41.8224305,-87.6227055""",41.8224305,-87.6227055
245,Greater Chicago Food Depository,"""4600 S Honore St, Chicago IL, 60609""","""41.8102131,-87.67141909999998""",41.8102131,-87.67141909999998
246,Greater Chicago Food Depository,"""1512 S Pulaski Rd, Chicago IL, 60623""","""41.8603602,-87.72533950000002""",41.8603602,-87.72533950000002
247,Greater Chicago Food Depository,"""1214 N Washtenaw Ave, Chicago IL, 60622""","""41.9036087,-87.69497849999999""",41.9036087,-87.69497849999999
248,Greater Chicago Food Depository,"""2157 W 19th St, Chicago IL, 60608""","""41.8555234,-87.68061840000001""",41.8555234,-87.68061840000001
249,Greater Chicago Food Depository,"""1060 E 47th St, Chicago IL, 60653""","""41.8099431,-87.59960839999997""",41.8099431,-87.59960839999997
250,Greater Chicago Food Depository,"""3415 W 13th Pl, Chicago IL, 60623""","""41.863846,-87.7111463""",41.863846,-87.7111463
251,Greater Chicago Food Depository,"""2520 S Western, Chicago IL, 60608""","""41.8457521,-87.68585689999998""",41.8457521,-87.68585689999998
252,Greater Chicago Food Depository,"""7731 N Marshfield Ave, Chicago IL, 60626""","""42.0220589,-87.67157450000002""",42.0220589,-87.67157450000002
253,Greater Chicago Food Depository,"""7131 S South Chicago Ave, Chicago IL, 60619""","""41.7651956,-87.60400219999997""",41.7651956,-87.60400219999997
255,Greater Chicago Food Depository,"""6328 N California Ave, Chicago IL, 60659""","""41.9965957,-87.69993290000002""",41.9965957,-87.69993290000002
256,Greater Chicago Food Depository,"""6235 S Homan Ave, Chicago IL, 60629""","""41.7795427,-87.70766270000001""",41.7795427,-87.70766270000001
257,Greater Chicago Food Depository,"""824 N Hamlin Ave, Chicago IL, 60651""","""41.8960637,-87.72155939999999""",41.8960637,-87.72155939999999
259,Greater Chicago Food Depository,"""119 E Garfield Blvd, Chicago IL, 60637""","""41.7940972,-87.62174270000003""",41.7940972,-87.62174270000003
260,Greater Chicago Food Depository,"""400 W 76th St, Chicago IL, 60620""","""41.7564966,-87.63508730000001""",41.7564966,-87.63508730000001
261,Greater Chicago Food Depository,"""4943 W Quincy, Chicago IL, 60644""","""41.8773645,-87.74906369999997""",41.8773645,-87.74906369999997
262,Greater Chicago Food Depository,"""730 W 69th St, Chicago IL, 60621""","""41.769059,-87.64299779999999""",41.769059,-87.64299779999999
264,Greater Chicago Food Depository,"""4730 North Sheridan, Chicago IL, 60640""","""41.9681566,-87.65500410000004""",41.9681566,-87.65500410000004
267,Greater Chicago Food Depository,"""4225 W 25th St, Chicago IL, 60623""","""41.8457626,-87.7305255""",41.8457626,-87.7305255
273,Greater Chicago Food Depository,"""1410 N Springfield, Chicago IL, 60651""","""41.9067025,-87.7242958""",41.9067025,-87.7242958
275,Greater Chicago Food Depository,"""3219 W. Carroll Avenue, Chicago IL, 60624""","""41.8872234,-87.70726809999996""",41.8872234,-87.70726809999996
276,Greater Chicago Food Depository,"""2859 W. Jackson, Chicago IL, 60612""","""41.877124,-87.69843100000003""",41.877124,-87.69843100000003
277,Greater Chicago Food Depository,"""1016 W Argyle St, Chicago IL, 60640""","""41.9734741,-87.65571249999999""",41.9734741,-87.65571249999999
278,Greater Chicago Food Depository,"""4730 N Sheridan Rd, Chicago IL, 60640""","""41.9681566,-87.65500410000004""",41.9681566,-87.65500410000004
279,Charles A Hayes Family Invest,"""4455 S King Dr, Chicago IL, 60653""","""41.8132497,-87.61588159999997""",41.8132497,-87.61588159999997
601,Casa Central,"""1343 N California Ave, Chicago IL, 60622""","""41.9060482,-87.69653240000002""",41.9060482,-87.69653240000002
603,Casa Central,"""1322 N Kedzie, Chicago IL, 60651""","""41.90542,-87.70733000000001""",41.90542,-87.70733000000001
605,Erie Neighborhood House,"""1347 W Erie St, Chicago IL, 60642""","""41.8931701,-87.6614166""",41.8931701,-87.6614166
613,Youth & Opportunity United Inc,"""914 Ashland Street, Chicago IL, 60202""","""42.0343622,-87.69359759999998""",42.0343622,-87.69359759999998
