"Input";"Coordinates"
"10212 S Vernon Ave, Chicago IL, 60628";"41.70882750000001,-87.613022"
"9833 S Throop St, Chicago IL, 60643";"41.7146074,-87.65441099999998"
"2252 W Washington Blvd, Chicago IL, 60612";"41.8832967,-87.68372640000001"
"2906 E 96th St, Chicago IL, 60617";"41.721227,-87.55264299999999"
"1255 N Noble St, Chicago IL, 60642";"41.9051817,-87.66210089999998"
"3027 W Palmer Blvd, Chicago IL, 60647";"41.9203164,-87.70321539999998"
"247 W 23rd St, Chicago IL, 60616";"41.8497783,-87.63378319999998"
"5025 S Kenneth Ave, Chicago IL, 60632";"41.8019617,-87.7343004"
"7801 S May St, Chicago IL, 60620";"41.75217300000001,-87.652222"
"2446 N Ridgeway Ave, Chicago IL, 60647";"41.9258244,-87.7210058"
"9050 S Burley Ave, Chicago IL, 60617";"41.7304119,-87.54591820000002"
"4810 S Leamington Ave, Chicago IL, 60638";"41.8051053,-87.75213539999999"
"2110 E 72nd St, Chicago IL, 60649";"41.7648992,-87.57320650000003"
"1919 S Ashland Ave, Chicago IL, 60608";"41.8553013,-87.66578879999997"
"1625 S Allport St, Chicago IL, 60608";"41.8590802,-87.65733669999997"
"6020 S Laflin St, Chicago IL, 60636";"41.7840748,-87.66248139999999"
"1810 N Hermitage Ave, Chicago IL, 60622";"41.9145828,-87.67212699999999"
"1026 W Buena Ave, Chicago IL, 60613";"41.958763,-87.65551690000001"
"6424 S Kenneth Ave, Chicago IL, 60629";"41.7761705,-87.73396100000002"
"1537 N Lawndale Ave, Chicago IL, 60651";"41.9092399,-87.71884899999998"
"4910 N Claremont Ave, Chicago IL, 60625";"41.9708359,-87.68813439999997"
"3741 W 62nd St, Chicago IL, 60629";"41.7805634,-87.71666479999999"
"8231 S South Shore Dr, Chicago IL, 60617";"41.7459161,-87.5476084"
"1949 W 48th St, Chicago IL, 60609";"41.8064504,-87.67412030000003"
"110 E 61st St, Chicago IL, 60637";"41.7837933,-87.62200819999998"
"1851 W Cermak Rd, Chicago IL, 60608";"41.851826,-87.67294079999999"
"7130 S Hamlin Ave, Chicago IL, 60629";"41.7629337,-87.71804279999998"
"1501 E 83rd Pl, Chicago IL, 60619";"41.7429291,-87.58766149999997"
"2245 N McVicker Ave, Chicago IL, 60639";"41.9216336,-87.7764876"
"2235 N Hamilton Ave, Chicago IL, 60647";"41.92249839999999,-87.68083230000002"
"1309 W 95th St, Chicago IL, 60643";"41.7203832,-87.65590099999997"
"1816 W Garfield Blvd, Chicago IL, 60609";"41.7942582,-87.6700535"
"3151 W Douglas Blvd, Chicago IL, 60623";"41.8621559,-87.70519430000002"
"11530 S Prairie Ave, Chicago IL, 60628";"41.6844595,-87.61679700000002"
"8739 S Exchange Ave, Chicago IL, 60617";"41.7358513,-87.5527644"
"1132 S Homan Ave, Chicago IL, 60624";"41.86712319999999,-87.71099649999996"
"1313 S Sacramento Dr, Chicago IL, 60623";"41.86436250000001,-87.70107029999997"
"8130 S California Ave, Chicago IL, 60652";"41.7452155,-87.69313820000002"
"6515 S Ashland Ave, Chicago IL, 60636";"41.7751925,-87.66370970000003"
"1817 W 80th St, Chicago IL, 60620";"41.7481373,-87.66896480000003"
"3820 N Spaulding Ave, Chicago IL, 60618";"41.9507422,-87.71072759999998"
"5608 W Washington Blvd, Chicago IL, 60644";"41.8825194,-87.76543049999998"
"5545 W Harrison St, Chicago IL, 60644";"41.8725092,-87.76359539999999"
"2228 S Whipple St, Chicago IL, 60623";"41.85084430000001,-87.70188389999998"
"1616 S Spaulding Ave, Chicago IL, 60623";"41.8584975,-87.70844929999998"
"6727 S California Ave, Chicago IL, 60629";"41.7709745,-87.69251009999999"
"1643 W Bryn Mawr Ave, Chicago IL, 60660";"41.9832766,-87.67123509999999"
"1140 W Jackson Blvd, Chicago IL, 60607";"41.87798780000001,-87.65593769999998"
"11600 S Longwood Dr, Chicago IL, 60643";"41.6824561,-87.67514169999998"
"3737 N Mozart St, Chicago IL, 60618";"41.9496227,-87.69895830000002"
"3110 W Grand Ave, Chicago IL, 60622";"41.8980721,-87.70466449999998"
"4300 W Irving Park Rd, Chicago IL, 60641";"41.9539423,-87.73581179999996"
"1443 W Division St, Chicago IL, 60642";"41.9029929,-87.66424540000003"
"1501 N Oakley Blvd, Chicago IL, 60622";"41.9092512,-87.68409079999998"
"7550 S Phillips Ave, Chicago IL, 60649";"41.7574114,-87.56549039999999"
"1021 E 83rd St, Chicago IL, 60619";"41.7437801,-87.599489"
"4040 W Division St, Chicago IL, 60651";"41.902875,-87.72795639999998"
"5108 W Division St, Chicago IL, 60651";"41.9025344,-87.75377939999998"
"2739 W Division St, Chicago IL, 60622";"41.9026807,-87.6959923"
"3535 W Foster Ave, Chicago IL, 60625";"41.975387,-87.71748789999998"
"6416 S Washtenaw Ave, Chicago IL, 60629";"41.7768811,-87.69120120000002"
"4106 W 28th St, Chicago IL, 60623";"41.8407426,-87.72709610000004"
"10558 S Wentworth Ave, Chicago IL, 60628";"41.701783,-87.62847499999998"
"10650 S Longwood Dr, Chicago IL, 60643";"41.6996246,-87.67120119999998"
"7621 S Dorchester Ave, Chicago IL, 60619";"41.7563125,-87.5902668"
"5088 W Jackson Blvd, Chicago IL, 60644";"41.8771423,-87.7526631"
"1737 W Touhy Ave, Chicago IL, 60626";"42.012443,-87.6739149"
"5110 N Damen Ave, Chicago IL, 60625";"41.9750909,-87.68030909999999"
"231 N Pine Ave, Chicago IL, 60644";"41.88500440000001,-87.76249280000002"
"3939 W 79th St, Chicago IL, 60652";"41.7487644,-87.72067190000001"
"13100 S Doty Ave, Chicago IL, 60827";"41.6566146,-87.58935359999998"
"2245 W Jackson Blvd, Chicago IL, 60612";"41.876848,-87.68323250000003"
"6201 S Stewart Ave, Chicago IL, 60621";"41.7820213,-87.63421840000001"
"2345 S Christiana Ave, Chicago IL, 60623";"41.8493374,-87.70830139999998"
"11220 S Wallace St, Chicago IL, 60628";"41.6896803,-87.63835460000001"
"3235 N Leclaire Ave, Chicago IL, 60641";"41.9397716,-87.75273270000002"
"5630 S Rockwell St, Chicago IL, 60629";"41.7910307,-87.6897308"
"9652 S Michigan Ave, Chicago IL, 60628";"41.7181944,-87.62127720000001"
"6520 S Wood St, Chicago IL, 60636";"41.7749901,-87.6695661"
"7740 S Ingleside Ave, Chicago IL, 60619";"41.7542231,-87.60164689999999"
"6200 S Hamlin Ave, Chicago IL, 60629";"41.780545,-87.71792040000003"
"6220 S Stony Island Ave, Chicago IL, 60637";"41.7821436,-87.58723659999998"
"4136 S California Ave, Chicago IL, 60632";"41.8186124,-87.69511690000002"
"4343 W Wrightwood Ave, Chicago IL, 60639";"41.92722490000001,-87.73603760000003"
"6325 W 56th St, Chicago IL, 60638";"41.7902256,-87.7803164"
"5015 S Blackstone Ave, Chicago IL, 60615";"41.8035048,-87.59001319999999"
"4015 N Ashland Ave, Chicago IL, 60613";"41.9552279,-87.6686125"
"2501 W Addison St, Chicago IL, 60618";"41.945431,-87.69061799999997"
"6130 S Wolcott Ave, Chicago IL, 60636";"41.78208730000001,-87.67215379999999"
"3250 W Adams St, Chicago IL, 60624";"41.8790132,-87.70698709999999"
"5835 N Lincoln Ave, Chicago IL, 60659";"41.98791629999999,-87.70114430000001"
"1744 W Pryor Ave, Chicago IL, 60643";"41.6919264,-87.66576959999998"
"730 N Pulaski Rd, Chicago IL, 60624";"41.8941709,-87.72604910000001"
"244 E Pershing Rd, Chicago IL, 60653";"41.8243586,-87.61980059999996"
"3436 W Wilson Ave, Chicago IL, 60625";"41.9650389,-87.7144907"
"3601 N Milwaukee Ave, Chicago IL, 60641";"41.9472359,-87.73583480000002"
"5900 N Glenwood Ave, Chicago IL, 60660";"41.989008,-87.6667645"
"4445 S Drexel Blvd, Chicago IL, 60653";"41.8141268,-87.60293609999997"
"3030 N Mobile Ave, Chicago IL, 60634";"41.935631,-87.784152"
"6631 N Bosworth Ave, Chicago IL, 60626";"42.0028084,-87.66891659999999"
"6530 W Bryn Mawr Ave, Chicago IL, 60631";"41.9843542,-87.79168429999999"
"4747 S Union Ave, Chicago IL, 60609";"41.8075276,-87.6423527"
"5039 N Kimball Ave, Chicago IL, 60625";"41.9730405,-87.71347659999998"
"2001 N Orchard St, Chicago IL, 60614";"41.9191218,-87.64555089999999"
"3535 E 114th St, Chicago IL, 60617";"41.6874945,-87.53819229999999"
"936 N Ashland Ave, Chicago IL, 60622";"41.8991219,-87.668071"
"2100 E 87th St, Chicago IL, 60617";"41.7384975,-87.5725195"
"3000 S King Dr, Chicago IL, 60616";"41.8403698,-87.61851189999999"
"606 S State St, Chicago IL, 60605";"41.8743132,-87.62796789999999"
"2148 N Long Ave, Chicago IL, 60639";"41.9194202,-87.7618468"
"5009 S Laflin St, Chicago IL, 60609";"41.8027209,-87.66192949999999"
"8147 S Vincennes Ave, Chicago IL, 60620";"41.74535150000001,-87.63463289999999"
"821 E 103rd St, Chicago IL, 60628";"41.7065428,-87.60259830000001"
"1147 N Western Ave, Chicago IL, 60622";"41.9026168,-87.68612949999999"
"2935 W Polk St, Chicago IL, 60612";"41.870559,-87.69971190000001"
"4959 S Archer Ave, Chicago IL, 60632";"41.8022402,-87.72170699999998"
"10330 S Elizabeth St, Chicago IL, 60643";"41.70594639999999,-87.65424000000002"
"211 S Laflin St, Chicago IL, 60607";"41.87824740000001,-87.66367459999998"
"1313 S Sacramento Dr, Chicago IL, 60623";"41.86436250000001,-87.70107029999997"
"6835 S Normal Blvd, Chicago IL, 60621";"41.7702519,-87.6368723"
"2150 S Laflin St, Chicago IL, 60608";"41.8537247,-87.66365689999998"
"3807 W 111th St, Chicago IL, 60655";"41.6913133,-87.7161221"
"4319 W Washington Blvd, Chicago IL, 60624";"41.8815621,-87.73377160000001"
"250 E 111th St, Chicago IL, 60628";"41.6941384,-87.61584440000001"
"917 W 88th St, Chicago IL, 60620";"41.7338455,-87.64695710000001"
"1150 W 96th St, Chicago IL, 60643";"41.7195222,-87.6523942"
"10810 S Avenue H, Chicago IL, 60617";"41.6985287,-87.53319479999999"
"2851 N Seminary Ave, Chicago IL, 60657";"41.93397239999999,-87.6558124"
"2625 N Orchard St, Chicago IL, 60614";"41.9296481,-87.6459706"
"630 E 131st St, Chicago IL, 60827";"41.6574136,-87.60746870000003"
"950 W 33rd Pl, Chicago IL, 60608";"41.8340484,-87.6500959"
"2110 W Greenleaf Ave, Chicago IL, 60645";"42.0106298,-87.68496160000001"
"3813 S Dearborn St, Chicago IL, 60609";"41.8253134,-87.62765580000001"
"3500 N Hoyne Ave, Chicago IL, 60618";"41.9453833,-87.68115060000002"
"8045 S Kenwood Ave, Chicago IL, 60619";"41.7485226,-87.59128720000001"
"10354 S Charles St, Chicago IL, 60643";"41.705373,-87.65851459999999"
"2828 N Kilbourn Ave, Chicago IL, 60641";"41.9326996,-87.73987790000001"
"7650 S Wolcott Ave, Chicago IL, 60620";"41.75460959999999,-87.67149740000002"
"1140 W 66th St, Chicago IL, 60621";"41.774826,-87.6537978"
"4214 N Richmond St, Chicago IL, 60618";"41.9581506,-87.70206789999997"
"6006 S Peoria St, Chicago IL, 60621";"41.7844599,-87.64789589999998"
"5025 N Laramie Ave, Chicago IL, 60630";"41.9720396,-87.75681850000001"
"25 W 47th St, Chicago IL, 60609";"41.8083023,-87.62698840000002"
"3151 W Walnut St, Chicago IL, 60612";"41.8851078,-87.70488879999999"
"4257 N Tripp Ave, Chicago IL, 60641";"41.958895,-87.733679"
"3730 N Oakley Ave, Chicago IL, 60618";"41.9494917,-87.6865742"
"10115 S Prairie Ave, Chicago IL, 60628";"41.71052479999999,-87.61698569999999"
"9101 S Euclid Ave, Chicago IL, 60617";"41.729207,-87.5763834"
"1420 W Grace St, Chicago IL, 60613";"41.9509477,-87.66500580000002"
"7050 S May St, Chicago IL, 60621";"41.7657146,-87.6534178"
"6710 N Washtenaw Ave, Chicago IL, 60645";"42.0039664,-87.6979523"
"500 N Dearborn St, Chicago IL, 60654";"41.8911023,-87.62997050000001"
"11411 S Eggleston Ave, Chicago IL, 60628";"41.6863684,-87.63340770000002"
"4251 N Clarendon Ave, Chicago IL, 60613";"41.9600422,-87.64923920000001"
"2723 N Fairfield Ave, Chicago IL, 60647";"41.931012,-87.69604270000002"
"3800 N New England Ave, Chicago IL, 60634";"41.949675,-87.79893390000001"
"10740 S Calhoun Ave, Chicago IL, 60617";"41.6997402,-87.56231589999999"
"54 N Hermitage Ave, Chicago IL, 60612";"41.882633,-87.67058309999999"
"6741 S Michigan Ave, Chicago IL, 60637";"41.7715893,-87.62140649999998"
"7355 S Jeffery Blvd, Chicago IL, 60649";"41.7611357,-87.57607039999999"
"2701 W Foster Ave, Chicago IL, 60625";"41.9753187,-87.69688229999997"
"2035 N Mobile Ave, Chicago IL, 60639";"41.9176413,-87.78181189999998"
"5356 S King Dr, Chicago IL, 60615";"41.7968935,-87.61614320000001"
"1630 W Barry Ave, Chicago IL, 60657";"41.9380894,-87.66983049999999"
"1903 E 96th St, Chicago IL, 60617";"41.7205999,-87.57725949999997"
"2524 S Central Park Ave, Chicago IL, 60623";"41.8455403,-87.71514309999998"
"650 E 91st Pl, Chicago IL, 60619";"41.7288177,-87.60766000000001"
"1621 W Wabansia Ave, Chicago IL, 60622";"41.91212700000001,-87.66867960000002"
"3542 S Washtenaw Ave, Chicago IL, 60632";"41.8288647,-87.69269919999999"
"932 N Central Ave, Chicago IL, 60651";"41.8976552,-87.76580339999998"
"5329 S Oak Park Ave, Chicago IL, 60638";"41.7948196,-87.79101759999998"
"8546 S Cregier Ave, Chicago IL, 60617";"41.7392845,-87.5815346"
"1234 N Monticello Ave, Chicago IL, 60651";"41.9040722,-87.71821829999999"
"3740 N Panama Ave, Chicago IL, 60634";"41.94792899999999,-87.82989900000001"
"1414 E 61st Pl, Chicago IL, 60637";"41.7832795,-87.59106659999998"
"2929 W 83rd St, Chicago IL, 60652";"41.7421281,-87.69682030000001"
"5740 S Michigan Ave, Chicago IL, 60637";"41.7900846,-87.6223736"
"11314 S Spaulding Ave, Chicago IL, 60655";"41.6875193,-87.70396290000002"
"2908 W Washington Blvd, Chicago IL, 60612";"41.88328569999999,-87.69947179999997"
"2745 W Roosevelt Rd, Chicago IL, 60608";"41.8661963,-87.69512829999996"
"2135 W Foster Ave, Chicago IL, 60625";"41.9746782,-87.68325149999998"
"2021 N Point St, Chicago IL, 60647";"41.918172,-87.69428319999997"
"13231 S Burley Ave, Chicago IL, 60633";"41.65469340000001,-87.5440749"
"3121 W Byron St, Chicago IL, 60618";"41.9516981,-87.70591509999997"
"6110 N Fairfield Ave, Chicago IL, 60659";"41.9931861,-87.69828259999997"
"2350 W 110th Pl, Chicago IL, 60643";"41.6929629,-87.68029709999996"
"8441 S Yates Blvd, Chicago IL, 60617";"41.74161429999999,-87.56550809999999"
"1003 N Leavitt St, Chicago IL, 60622";"41.8996893,-87.68141530000003"
"8150 S Bishop St, Chicago IL, 60620";"41.7458533,-87.660166"
"4046 N Leavitt St, Chicago IL, 60618";"41.9554175,-87.6839971"
"1624 W 19th St, Chicago IL, 60608";"41.8561772,-87.66726390000002"
"2510 S Kildare Ave, Chicago IL, 60623";"41.8454986,-87.73206579999999"
"2128 S Saint Louis Ave, Chicago IL, 60623";"41.852819,-87.71285510000001"
"3116 W Belden Ave, Chicago IL, 60647";"41.9235103,-87.7053037"
"3014 W 39th Pl, Chicago IL, 60632";"41.8222433,-87.70032709999998"
"3810 W 81st Pl, Chicago IL, 60652";"41.7455946,-87.71863139999999"
"7240 S Wabash Ave, Chicago IL, 60619";"41.762424,-87.62402800000001"
"2131 W Monroe St, Chicago IL, 60612";"41.8796875,-87.6806019"
"2450 W Rice St, Chicago IL, 60622";"41.8970977,-87.68853339999998"
"3436 N Osceola Ave, Chicago IL, 60634";"41.9425567,-87.81359049999998"
"5415 S Union Ave, Chicago IL, 60609";"41.7959436,-87.64232809999999"
"4140 N Marine Dr, Chicago IL, 60613";"41.9567418,-87.64699139999999"
"8306 S Saint Lawrence Ave, Chicago IL, 60619";"41.743127,-87.61101200000002"
"2651 W Washington Blvd, Chicago IL, 60612";"41.8826702,-87.69291420000002"
"535 E 35th St, Chicago IL, 60616";"41.8306422,-87.6122838"
"6108 S Natoma Ave, Chicago IL, 60638";"41.7803131,-87.78784519999999"
"2710 S Dearborn St, Chicago IL, 60616";"41.8441791,-87.62886000000003"
"1845 W Cortland St, Chicago IL, 60622";"41.9157206,-87.67448609999997"
"330 E 133rd St, Chicago IL, 60827";"41.6540012,-87.61420729999998"
"6311 S Calumet Ave, Chicago IL, 60637";"41.7796859,-87.61672900000002"
"10845 S Union Ave, Chicago IL, 60628";"41.6970253,-87.64008899999999"
"3615 W 16th St, Chicago IL, 60623";"41.85858289999999,-87.71578649999998"
"2040 W 62nd St, Chicago IL, 60636";"41.7816454,-87.67567050000002"
"3400 W 65th Pl, Chicago IL, 60629";"41.774628,-87.7083351"
"7350 W Pratt Ave, Chicago IL, 60631";"42.0043417,-87.81101380000001"
"6525 N Hiawatha Ave, Chicago IL, 60646";"41.9994428,-87.76183530000003"
"4815 S Karlov Ave, Chicago IL, 60632";"41.8053759,-87.72553649999998"
"224 N Central Ave, Chicago IL, 60644";"41.8849968,-87.76504820000002"
"3600 W 5th Ave, Chicago IL, 60624";"41.87607939999999,-87.71646850000002"
"1865 W Montvale Ave, Chicago IL, 60643";"41.689107,-87.66951699999998"
"3419 S Bell Ave, Chicago IL, 60608";"41.83173910000001,-87.6810949"
"9811 S Lowe Ave, Chicago IL, 60628";"41.7156457,-87.63896929999999"
"3020 N Lamon Ave, Chicago IL, 60641";"41.9355906,-87.7506105"
"3250 W Monroe St, Chicago IL, 60624";"41.8798883,-87.7082623"
"5414 N Linder Ave, Chicago IL, 60630";"41.9802178,-87.76656679999996"
"10041 S Union Ave, Chicago IL, 60628";"41.7110227,-87.64025049999998"
"7019 N Ashland Blvd, Chicago IL, 60626";"42.00962810000001,-87.66941989999998"
"6020 S Langley Ave, Chicago IL, 60637";"41.7852614,-87.60854330000001"
"9025 S Throop St, Chicago IL, 60620";"41.7299219,-87.65497289999996"
"225 W Evergreen Ave, Chicago IL, 60610";"41.9060674,-87.63595929999997"
"4214 S Saint Lawrence Ave, Chicago IL, 60653";"41.8180574,-87.61232790000003"
"5300 S Hermitage Ave, Chicago IL, 60609";"41.7971263,-87.66870670000003"
